isFraud,type,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
No,CASH_OUT,7,87364.19,8511.39,0,766026.72,3476255.29
No,CASH_OUT,7,63322.59,0,0,415105.48,331925.12
No,TRANSFER,7,369295.21,10684,0,3028,738409.98
No,CASH_OUT,7,99856.81,57270,0,210074,0
No,TRANSFER,7,621098.47,44951.16,0,661477,13688613.94
No,CASH_OUT,7,100449.07,222739.14,122290.08,421984.74,2074668.33
Yes,TRANSFER,7,262434.54,262434.54,0,0,0
Yes,CASH_OUT,7,262434.54,262434.54,0,19525.79,438233.86
Yes,TRANSFER,7,21729,21729,0,0,0
Yes,CASH_OUT,7,21729,21729,0,27335,0
Yes,TRANSFER,7,5460002.91,5460002.91,0,0,0
Yes,CASH_OUT,7,5460002.91,5460002.91,0,0,9281535.44
Yes,TRANSFER,7,164,164,0,0,0
Yes,CASH_OUT,7,164,164,0,4068,0
Yes,TRANSFER,7,21571,21571,0,0,0
Yes,CASH_OUT,7,21571,21571,0,30797.41,71140.3
Yes,TRANSFER,7,441445.58,441445.58,0,0,0
Yes,CASH_OUT,7,441445.58,441445.58,0,98993.5,0
No,CASH_OUT,8,165794.34,49514,0,0,165794.34
No,CASH_OUT,8,291219.53,3123.51,0,504840,644605.48
No,CASH_OUT,8,67032.33,0,0,79915.4,4257804.38
No,TRANSFER,8,50212.51,72565,22352.49,1109,51321.51
No,TRANSFER,8,244060.66,0,0,957433.48,1201494.14
No,TRANSFER,8,789537.78,1539891.09,750353.32,482833.06,2486396.91
No,CASH_OUT,8,72547.35,0,0,600722.94,1081619.4
No,TRANSFER,8,833835.8,20654,0,10545,6085383.25
No,CASH_OUT,8,5160.96,0,0,12142.56,17303.52
No,CASH_OUT,8,272447.16,0,0,796411.88,135593.97
No,TRANSFER,8,13389.79,77301.2,63911.41,40699,233193.32
No,CASH_OUT,8,537353.81,0,0,4222570.15,6564973.2
No,CASH_OUT,8,486724.72,0,0,634738.25,5189726.17
No,TRANSFER,8,733.62,221985,221251.38,438091.68,79915.4
No,CASH_OUT,8,57727.14,29032,0,479791.39,1458658.26
No,TRANSFER,8,263911.38,0,0,16387131.45,17356500.26
No,TRANSFER,8,66180.98,0,0,581291.6,1356429.9
No,CASH_OUT,8,83713.05,0,0,2574637.16,2096994.78
No,CASH_OUT,8,340998.18,0,0,23005385.41,23346383.59
No,CASH_OUT,8,112475.94,0,0,269156.05,381631.99
Yes,CASH_OUT,8,181728.11,0,0,11397,184477.77
Yes,TRANSFER,8,222,222,0,0,267095.19
Yes,CASH_OUT,8,222,222,0,24708,171647.35
Yes,TRANSFER,8,1996.17,1996.17,0,0,0
Yes,CASH_OUT,8,1996.17,1996.17,0,2559.74,4555.92
Yes,TRANSFER,8,1078013.76,0,0,0,970749.68
Yes,TRANSFER,8,89631.24,89631.24,0,0,0
Yes,CASH_OUT,8,89631.24,89631.24,0,21175,0
Yes,TRANSFER,8,29707.86,29707.86,0,0,0
Yes,CASH_OUT,8,29707.86,29707.86,0,10935,0
Yes,TRANSFER,8,43092,43092,0,0,0
Yes,CASH_OUT,8,43092,43092,0,660641.74,1158662.9
No,CASH_OUT,9,157879.7,19944,0,2291367.26,2852865.55
No,CASH_OUT,9,15247.45,110759,95511.55,111238.42,1561678.17
No,CASH_OUT,9,366314.59,1337164.26,970849.66,817556.38,1708599.42
No,CASH_OUT,9,82985.9,675691.58,592705.68,104381.47,50467.76
No,CASH_OUT,9,10194.68,1616412.79,1606218.11,147555.93,425199.81
No,CASH_OUT,9,319057.6,0,0,4949128.86,5337009.75
No,CASH_OUT,9,305237.69,62141,0,89623,394860.69
No,CASH_OUT,9,436303,0,0,575510.74,787085.04
No,CASH_OUT,9,129743.87,0,0,184657.73,1176197.17
No,CASH_OUT,9,52936.47,0,0,7288473.43,7341409.9
No,TRANSFER,9,669113.64,0,0,713223.26,1382336.9
No,CASH_OUT,9,404980.39,0,0,873225.25,946278.08
No,CASH_OUT,9,882378.66,0,0,7992194.24,8874572.9
No,CASH_OUT,9,537005.11,0,0,653771.75,1369340.5
No,CASH_OUT,9,170882.75,150,0,1739609.64,2697349.09
No,CASH_OUT,9,10755.23,0,0,280561.33,818108.42
No,CASH_OUT,9,131016.71,0,0,662635.81,888615.31
No,CASH_OUT,9,90763.8,133756.1,42992.3,189,9421.87
No,CASH_OUT,9,2600.8,0,0,127609.33,465228.93
No,TRANSFER,9,1153230.56,66067,0,50680,1425862.23
No,CASH_OUT,9,118033.03,0,0,1449287.81,3028065.33
No,CASH_OUT,9,7036.24,0,0,52420,59456.24
No,CASH_OUT,9,201747.5,15180,0,179127,387878.28
No,CASH_OUT,9,156101.85,20948,0,1379683.16,1654395.32
No,CASH_OUT,9,305284.41,23114,0,1779341.78,2084626.19
No,CASH_OUT,9,21119.7,0,0,303526.84,2161937.66
No,CASH_OUT,9,226450.91,218036,0,89402,315852.91
No,CASH_OUT,9,13733.23,0,0,54096.32,67829.55
No,CASH_OUT,9,44343.67,0,0,214900.2,246908.11
No,TRANSFER,9,379918.61,19026,0,0,959906.7
No,CASH_OUT,9,22839.04,0,0,102395,271941.23
No,CASH_OUT,9,48311.29,92517,44205.71,391334.71,356192.37
No,CASH_OUT,9,36858.39,194266.49,157408.1,8645.66,59619.43
No,CASH_OUT,9,206711.29,48721,0,0,206711.29
No,CASH_OUT,9,79616.65,0,0,1632581.94,2394878.11
No,CASH_OUT,9,33290.85,1220,0,0,33290.85
No,CASH_OUT,9,173672.28,5888,0,134217.26,647842.77
No,CASH_OUT,9,103653.45,0,0,262806.45,218940.79
No,CASH_OUT,9,213155.76,30872,0,43693.53,344435.39
No,CASH_OUT,9,41885.63,0,0,89219.01,131104.63
No,CASH_OUT,9,306999.63,0,0,29756,598025.05
No,CASH_OUT,9,132462.38,0,0,430013.86,535924.07
No,TRANSFER,9,3003424.66,12128,0,100631.63,3762749.8
No,CASH_OUT,9,271609.94,3123,0,0,271609.94
No,CASH_OUT,9,142334.47,0,0,1018816.13,1333926.18
No,CASH_OUT,9,352962.47,0,0,5248994.5,6689021.73
No,CASH_OUT,9,610879.29,0,0,631266.25,911694.89
Yes,TRANSFER,9,556218.01,556218.01,0,0,0
Yes,CASH_OUT,9,556218.01,556218.01,0,0,582265.81
Yes,TRANSFER,9,11308,11308,0,0,0
Yes,CASH_OUT,9,11308,11308,0,0,302550.56
Yes,TRANSFER,9,350705.74,350705.74,0,0,1184633.07
Yes,CASH_OUT,9,350705.74,350705.74,0,894760.68,1794033.65
Yes,TRANSFER,9,2539898.07,2539898.07,0,0,261290.69
Yes,CASH_OUT,9,2539898.07,2539898.07,0,968,1842864.22
Yes,TRANSFER,9,361559.69,361559.69,0,0,141302.12
Yes,CASH_OUT,9,361559.69,361559.69,0,504667.31,189441.24
Yes,TRANSFER,9,1154353.99,1154353.99,0,0,10872.9
Yes,CASH_OUT,9,1154353.99,1154353.99,0,162222,1965587.6
Yes,TRANSFER,9,21922,21922,0,0,0
Yes,CASH_OUT,9,21922,21922,0,1929861.61,2046918.8
Yes,TRANSFER,9,994453.2,1437370.87,442917.67,194812.76,665743.67
Yes,TRANSFER,9,1055,1055,0,0,0
Yes,CASH_OUT,9,1055,1055,0,75179,0
Yes,TRANSFER,9,244068.01,244068.01,0,0,0
Yes,CASH_OUT,9,244068.01,244068.01,0,0,338538.16
No,CASH_OUT,10,212498.4,0,0,479741.97,495833.32
No,CASH_OUT,10,227383.31,0,0,455725.01,841496.69
No,CASH_OUT,10,153506.72,0,0,217782.01,629139.95
No,CASH_OUT,10,467634.32,20582,0,522848.03,1066041.58
No,CASH_OUT,10,508902.85,135238.86,0,998381.47,2579360.2
No,TRANSFER,10,550703.67,0,0,1411984.98,2522125.67
No,CASH_OUT,10,8741.85,22493,13751.15,925903.38,934645.23
No,CASH_OUT,10,351372.03,6550,0,0,248598.01
No,TRANSFER,10,1036587.67,80110,0,0,1463652.49
No,CASH_OUT,10,423900.58,0,0,620838.33,1949946.01
No,TRANSFER,10,837885.56,0,0,901419.75,1739305.31
No,TRANSFER,10,2893217.94,120694.16,0,8665213.82,11605623.69
No,TRANSFER,10,1729602.55,0,0,2100267.47,3684208.25
No,CASH_OUT,10,297675.69,31719,0,341811.62,639487.31
No,CASH_OUT,10,245051.72,7096,0,0,186381.83
No,CASH_OUT,10,376378.31,0,0,2806329.12,3182707.43
No,CASH_OUT,10,146747.97,81890,0,0,0
No,CASH_OUT,10,64783.96,0,0,4553109.18,4374369.57
No,CASH_OUT,10,17015.48,426081.36,409065.88,247549.38,417833.72
No,TRANSFER,10,994762.89,0,0,6491303.03,7622055.41
No,CASH_OUT,10,373425.94,643018.77,269592.83,2167324.96,2430643.41
No,CASH_OUT,10,5066.01,19733,14666.99,7055,0
No,TRANSFER,10,110014.62,0,0,146795.97,256810.59
No,CASH_OUT,10,180426.98,21175,0,499535.11,1816821.08
No,CASH_OUT,10,8498.03,0,0,108666.9,255681.33
No,CASH_OUT,10,358170.73,158247,0,906878.52,1265049.25
No,CASH_OUT,10,18720.04,0,0,152959.22,171679.26
No,CASH_OUT,10,105190.66,0,0,122192.64,227383.3
No,CASH_OUT,10,148709.4,0,0,2170369.07,2319078.47
No,CASH_OUT,10,346086.55,100215.04,0,0,255853.44
No,CASH_OUT,10,176796.87,0,0,698687.15,480893.13
No,CASH_OUT,10,133820.76,10217,0,0,944592.48
No,TRANSFER,10,993635.93,52467,0,0,1764878.56
No,CASH_OUT,10,253586.7,27078,0,0,253586.7
No,CASH_OUT,10,446786.97,0,0,859940.16,1306727.13
No,CASH_OUT,10,214594.69,0,0,386256.67,578468.3
No,CASH_OUT,10,158219.39,1064846.39,906627,2984220.69,5369946.18
No,CASH_OUT,10,115532.26,59407,0,54579.41,376335.93
No,CASH_OUT,10,285996.66,0,0,1042198.73,1095377.97
No,CASH_OUT,10,141687.04,0,0,486990.38,841770.44
No,CASH_OUT,10,276554.96,99934,0,94107.2,971042.69
No,CASH_OUT,10,178179.06,0,0,61309,284598.62
No,CASH_OUT,10,57503.85,0,0,1902014.81,1848053.1
No,CASH_OUT,10,281572.44,10844,0,0,812277.93
No,CASH_OUT,10,303862.74,0,0,492249.5,796112.24
No,TRANSFER,10,588280.11,0,0,1575936.44,4793718.13
No,CASH_OUT,10,145078.03,0,0,385626.18,502251.72
No,CASH_OUT,10,146258.38,0,0,575688.43,721946.81
No,CASH_OUT,10,246135.78,6101.64,0,901453.18,1147588.96
No,CASH_OUT,10,285710.62,77719,0,74131,359841.62
No,CASH_OUT,10,210044.02,25296,0,1911461.91,2121505.93
No,CASH_OUT,10,140827.82,0,0,650415.1,1159524.59
No,CASH_OUT,10,50872.9,16616,0,1291828.99,1712689.46
No,TRANSFER,10,540065.76,297,0,90302,137474.57
Yes,TRANSFER,10,59835,59835,0,0,0
Yes,CASH_OUT,10,59835,59835,0,255480.76,315315.76
Yes,CASH_OUT,10,277970.88,0,0,0,277970.88
Yes,TRANSFER,10,93810.76,93810.76,0,0,0
Yes,CASH_OUT,10,93810.76,93810.76,0,4096048.05,4189858.81
Yes,TRANSFER,10,503405.88,503405.88,0,0,0
Yes,CASH_OUT,10,503405.88,503405.88,0,29669,533074.88
Yes,TRANSFER,10,2662734.59,2662734.59,0,0,0
Yes,CASH_OUT,10,2662734.59,2662734.59,0,14165.62,2930405.33
Yes,TRANSFER,10,9217.19,9217.19,0,0,96795.6
Yes,CASH_OUT,10,9217.19,9217.19,0,0,9217.19
No,CASH_OUT,11,177780.67,0,0,260056.38,553966.85
No,CASH_OUT,11,80175.37,188924.89,108749.51,635733.28,715908.65
No,CASH_OUT,11,474595.54,0,0,4509866.23,4984461.78
No,CASH_OUT,11,254783.98,10768,0,77835.28,332619.26
No,CASH_OUT,11,388070.83,113598,0,0,564654.83
No,CASH_OUT,11,107528.71,0,0,2277548.95,2396749.76
No,CASH_OUT,11,51131.78,404382.06,353250.29,0,0
No,TRANSFER,11,346958.41,0,0,1918028.91,2606028.81
No,CASH_OUT,11,82663.87,0,0,3045081.6,3115938.89
No,CASH_OUT,11,52032.09,0,0,652389.51,818946.57
No,CASH_OUT,11,372801.17,1149,0,0,372801.17
No,CASH_OUT,11,237424.55,0,0,293352.18,530776.73
No,CASH_OUT,11,232194.47,0,0,597699.89,829894.37
No,CASH_OUT,11,191864.24,60834,0,703973.24,930586.55
No,CASH_OUT,11,344400.74,0,0,809508.85,1153909.59
No,CASH_OUT,11,341553.03,21590,0,633497.35,1027042.39
No,CASH_OUT,11,78401.78,1311441.26,1233039.48,0,78401.78
No,TRANSFER,11,812631.32,93083,0,112913.77,925545.09
No,CASH_OUT,11,611421.85,0,0,4432332.72,5233388.43
No,TRANSFER,11,126563.6,0,0,292205.83,418769.43
No,CASH_OUT,11,358692.5,6052,0,30040,188186.02
No,TRANSFER,11,701873.89,0,0,1079607.32,2003803.53
No,TRANSFER,11,139714.96,15785,0,159029.14,674895.42
No,CASH_OUT,11,364350.12,5168,0,0,269107.57
No,CASH_OUT,11,255693.78,4860,0,30148,285841.78
No,CASH_OUT,11,141019.4,0,0,743995.17,885014.57
No,CASH_OUT,11,95289.97,0,0,742012.42,837302.39
No,CASH_OUT,11,368681.82,21583,0,1129856.32,1442724.71
No,CASH_OUT,11,395864.55,8088,0,444177.15,926177.66
No,CASH_OUT,11,332347.92,102707,0,543397.3,1213812.48
No,CASH_OUT,11,306102.96,0,0,23194855.15,24429032.26
No,CASH_OUT,11,368717.86,0,0,3096138.17,3442651.99
No,TRANSFER,11,173530.33,649,0,1468012.3,1692967.22
No,TRANSFER,11,72100.85,0,0,4743354.96,4994351.92
No,CASH_OUT,11,214007.6,3147444.68,2933437.08,567037.82,781045.43
No,CASH_OUT,11,131342.77,0,0,306275.77,860148.26
No,CASH_OUT,11,354139.75,245398,0,304507.83,1520509.31
No,CASH_OUT,11,26554.87,0,0,1877326.21,1903881.08
No,CASH_OUT,11,232126.28,18803,0,254638.64,1394930.19
No,TRANSFER,11,3413683.28,17671,0,382050.77,4042047.05
No,CASH_OUT,11,55289.67,191090.25,135800.58,227374.87,282664.55
No,CASH_OUT,11,202733.24,26503,0,4664.72,243233.86
No,CASH_OUT,11,399898.95,6820,0,285236.22,685135.17
Yes,TRANSFER,11,2100,2100,0,0,0
Yes,CASH_OUT,11,2100,2100,0,112512.48,114612.48
Yes,TRANSFER,11,1933920.8,0,0,1283762.85,3217683.65
Yes,TRANSFER,11,313418.28,313418.28,0,0,97980.88
Yes,CASH_OUT,11,313418.28,313418.28,0,688164.64,1029922.17
Yes,TRANSFER,11,12461,12461,0,0,0
Yes,CASH_OUT,11,12461,12461,0,27964.11,40425.11
No,TRANSFER,12,1416498.74,10058,0,403,1385811.87
No,CASH_OUT,12,265913.21,30831,0,0,53968.25
No,CASH_OUT,12,64979.56,0,0,549088.99,822689.2
No,CASH_OUT,12,53965.03,0,0,2228631.48,3668327.28
No,CASH_OUT,12,224057.93,0,0,1404945.6,1629003.54
No,CASH_OUT,12,209766.9,5175,0,0,581242.77
No,CASH_OUT,12,545460.64,21173,0,866545.9,3604075.5
No,CASH_OUT,12,157856.67,0,0,1058652.32,2441506.31
No,CASH_OUT,12,100170.13,326710.28,226540.15,307826.08,877732.86
No,CASH_OUT,12,347442.15,0,0,3131689.02,3479131.17
No,CASH_OUT,12,535510.61,159638,0,893661.05,2276460
No,CASH_OUT,12,155685.52,0,0,382337,1481863.75
No,CASH_OUT,12,66283.15,6061,0,5849691.52,5961698.36
No,CASH_OUT,12,655374.51,22506,0,98235.52,721529.35
No,TRANSFER,12,344668.27,9228,0,46262,390930.27
No,CASH_OUT,12,112208.28,0,0,123771.58,235979.87
No,CASH_OUT,12,464161.02,1134821.11,670660.08,1196190.24,1660351.26
No,CASH_OUT,12,84053.75,1295,0,145961.77,123425.3
No,TRANSFER,12,380106.76,11219,0,695606.9,1075713.66
No,TRANSFER,12,1880213.39,141468.41,0,10526294.09,12406507.48
No,CASH_OUT,12,98228.58,0,0,320389.82,411839.56
No,CASH_OUT,12,158735.64,0,0,3754328.61,3781312.34
No,CASH_OUT,12,152169.48,20193,0,0,152169.48
No,CASH_OUT,12,350891.05,0,0,5348548.49,5699439.54
No,CASH_OUT,12,87865.43,121889.79,34024.37,182736.94,270602.37
No,CASH_OUT,12,5898.11,0,0,273234.53,279132.64
No,TRANSFER,12,505964.78,0,0,3680716.75,4657540.66
No,CASH_OUT,12,531073.09,401701,0,769366.96,1084209.06
No,CASH_OUT,12,120609.04,0,0,5944089.45,6080565.41
No,TRANSFER,12,609232.23,0,0,1141048.09,1168199.57
No,CASH_OUT,12,415550.31,20697,0,95539.29,511089.6
No,CASH_OUT,12,212313.44,11145.7,0,0,1403081.52
No,CASH_OUT,12,202313.19,151243.11,0,738178.35,922327.09
No,TRANSFER,12,2498930.24,0,0,3873581,6712718.02
No,CASH_OUT,12,123467.35,356897,233429.65,0,90684.21
No,CASH_OUT,12,188066.49,192963.69,4897.2,2975370,3029018.71
No,CASH_OUT,12,56553.84,63113.68,6559.83,13433,36531.71
No,TRANSFER,12,1784696.26,0,0,5445454.7,7230150.96
No,TRANSFER,12,35531.09,0,0,1230903.55,1266434.64
No,TRANSFER,12,1330423.99,0,0,3258857.03,5064710.56
No,CASH_OUT,12,69834.51,50050,0,647,70481.51
No,CASH_OUT,12,274265.14,0,0,440677.44,428309.24
No,CASH_OUT,12,208776.67,0,0,232831.58,637385.97
No,CASH_OUT,12,161279.99,213057,51777.01,425240.4,586520.39
No,CASH_OUT,12,170015.08,0,0,610748.99,1189164.99
No,TRANSFER,12,113590.11,892,0,0,113590.11
No,CASH_OUT,12,185521.89,0,0,502483.38,548166.79
No,CASH_OUT,12,198209.41,0,0,7141819.75,7340029.16
No,TRANSFER,12,897687.24,0,0,3333346.38,5802065.98
No,CASH_OUT,12,241508.56,20959,0,260932.19,502440.75
No,CASH_OUT,12,82182.82,668,0,50600,187054.19
No,CASH_OUT,12,243589.1,0,0,663572,907161.1
No,TRANSFER,12,1180388.6,586418,0,5834837.06,7015225.67
No,CASH_OUT,12,163907.85,2248092.48,2084184.62,990870.58,1154778.43
No,CASH_OUT,12,172178.69,6533,0,3767000.8,3764732.77
No,CASH_OUT,12,34947.5,200382,165434.5,455298.48,1370723.74
No,CASH_OUT,12,404351.59,0,0,5318726.74,6784095.74
No,CASH_OUT,12,421167.53,10132,0,9090313.23,10018075.38
No,CASH_OUT,12,288521.39,0,0,532860.74,1173001.72
No,CASH_OUT,12,80645.2,0,0,4654529.4,5609041.03
No,CASH_OUT,12,254827.92,31225,0,0,137631.63
No,CASH_OUT,12,159118.07,0,0,734714.03,1133075.68
No,CASH_OUT,12,382226.12,97227,0,0,232978.47
No,CASH_OUT,12,343687.64,10557,0,203760.66,547448.3
No,CASH_OUT,12,340506.91,35682,0,699735.75,18823.27
Yes,TRANSFER,12,19472,19472,0,0,0
Yes,CASH_OUT,12,19472,19472,0,0,19472
Yes,TRANSFER,12,3964129.99,3964129.99,0,0,0
Yes,CASH_OUT,12,3964129.99,3964129.99,0,1912955.54,5811064.07
Yes,TRANSFER,12,1041647.06,1041647.06,0,0,0
Yes,CASH_OUT,12,1041647.06,1041647.06,0,52730.33,1094377.39
Yes,TRANSFER,12,2066467.64,2066467.64,0,0,81209.81
Yes,CASH_OUT,12,2066467.64,2066467.64,0,194510.24,3098566.67
Yes,CASH_OUT,12,149668.66,0,0,44170.11,193838.76
Yes,TRANSFER,12,2007,2007,0,0,0
Yes,CASH_OUT,12,2007,2007,0,129917.8,250910.76
Yes,CASH_OUT,12,222048.71,0,0,2979,225027.71
Yes,TRANSFER,12,8677,8677,0,0,0
Yes,CASH_OUT,12,8677,8677,0,225127.62,233804.62
No,CASH_OUT,13,129733.92,1078,0,314632.98,1101703.82
No,CASH_OUT,13,144128.18,0,0,320176.68,464304.86
No,CASH_OUT,13,66549.86,0,0,789125.69,855675.55
No,CASH_OUT,13,622082.05,78774,0,0,648009.61
No,CASH_OUT,13,91029.46,14,0,0,91029.46
No,CASH_OUT,13,113866.13,655746,541879.87,0,32707.99
No,CASH_OUT,13,85096.59,489,0,0,85096.59
No,CASH_OUT,13,462067.16,0,0,1290728.4,1894070.55
No,CASH_OUT,13,220214.93,0,0,224390.13,444605.06
No,CASH_OUT,13,195800.97,0,0,4742660.29,4972636.09
No,CASH_OUT,13,352877.41,18019,0,0,352877.41
No,CASH_OUT,13,135352.31,0,0,6630630.07,6765982.38
No,TRANSFER,13,1771928.18,426,0,42948.57,1814876.75
No,CASH_OUT,13,128355.46,123302,0,0,89441.27
No,CASH_OUT,13,397172.65,56330,0,0,397172.65
No,CASH_OUT,13,2992.1,139633.96,136641.86,11724,130939.3
No,CASH_OUT,13,293261.83,10847,0,315375.68,1004924.81
No,CASH_OUT,13,100983.37,917748.64,816765.27,1364361.18,1465344.55
No,CASH_OUT,13,208339.84,10595,0,7610074.23,7818414.07
No,CASH_OUT,13,58036.02,0,0,416024.46,474060.47
No,CASH_OUT,13,88496.26,70439,0,0,88496.26
No,CASH_OUT,13,83706.58,414872.08,331165.5,0,83706.58
No,TRANSFER,13,202681.76,70162,0,56242.07,258923.83
No,CASH_OUT,13,409991.62,61,0,21102,431093.62
No,CASH_OUT,13,231383.78,0,0,6416312.78,6647696.57
No,CASH_OUT,13,136825.48,0,0,702339.14,839164.61
No,CASH_OUT,13,271173.08,0,0,1178611.29,1449784.37
No,CASH_OUT,13,116116.36,509551.71,393435.35,1137335.87,1171678.25
No,CASH_OUT,13,164532.35,0,0,6871379.43,7035911.78
No,CASH_OUT,13,290475.71,14421,0,463242.35,535998.8
No,CASH_OUT,13,229240.48,895515.75,666275.27,536511.14,765751.62
No,CASH_OUT,13,623493.32,0,0,2563335.57,3454151.22
No,CASH_OUT,13,419241.66,183924,0,1527338.78,1946580.44
No,CASH_OUT,13,122022.16,10335,0,3785000.8,3962549.33
No,CASH_OUT,13,72364.23,1465697.72,1393333.49,76232.51,148596.75
No,CASH_OUT,13,145334.8,5585,0,805301.92,995431.88
No,CASH_OUT,13,166586.18,206598,40011.82,0,166586.18
No,CASH_OUT,13,32818.19,103419,70600.81,849640.89,882459.08
No,CASH_OUT,13,97849.3,0,0,801552.41,899401.71
No,CASH_OUT,13,445160.61,20702,0,888074.54,1333235.14
No,CASH_OUT,13,239284.11,0,0,595310.5,834594.61
No,CASH_OUT,13,138751.63,0,0,4360252.83,4499004.46
No,TRANSFER,13,1431943.53,106271,0,85592.22,1517535.75
No,CASH_OUT,13,200617.34,479,0,2533783.56,3342406.54
No,TRANSFER,13,1636766.82,82301,0,4836522.95,6473289.77
No,CASH_OUT,13,63136.74,0,0,644952.05,990765.49
No,CASH_OUT,13,150083.95,0,0,4593008.7,4743092.65
No,TRANSFER,13,336857.77,19969,0,505921.98,842779.75
Yes,TRANSFER,13,408,408,0,0,226013.18
Yes,CASH_OUT,13,408,408,0,898297.85,1075854.14
Yes,TRANSFER,13,48375.02,48375.02,0,0,0
Yes,CASH_OUT,13,48375.02,48375.02,0,374803.26,658520.33
Yes,TRANSFER,13,4022667.54,4022667.54,0,0,0
Yes,CASH_OUT,13,4022667.54,4022667.54,0,80136.56,4057191.21
Yes,CASH_OUT,13,454859.39,0,0,0,454859.39
Yes,TRANSFER,13,1161495.82,1161495.82,0,0,0
Yes,CASH_OUT,13,1161495.82,1161495.82,0,319036.02,1565123.81
